epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3764.07,1.29212,0.75601,1.34036,0.72563,0.67773,0.70701,0.37753,1.55782,0.84207,1.64197,0.00048651,0.00048651,0.00048651
43,3836.91,1.30527,0.75151,1.34711,0.74843,0.63983,0.68644,0.36613,1.56291,0.85955,1.63606,0.000482108,0.000482108,0.000482108
44,3911.23,1.28674,0.74209,1.3308,0.73285,0.68796,0.70906,0.38448,1.5312,0.83773,1.61256,0.000477705,0.000477705,0.000477705
45,3987.98,1.28139,0.74383,1.33002,0.75952,0.65682,0.70194,0.37844,1.53585,0.86098,1.61207,0.000473303,0.000473303,0.000473303
46,4067.36,1.2736,0.7416,1.32334,0.75313,0.66128,0.70441,0.3804,1.54287,0.85257,1.63195,0.000468901,0.000468901,0.000468901
47,4137.13,1.25362,0.72897,1.31663,0.77543,0.66001,0.71575,0.39261,1.51495,0.83081,1.60488,0.000464499,0.000464499,0.000464499
48,4223.02,1.26929,0.72311,1.32198,0.75236,0.66365,0.7059,0.38614,1.51582,0.8287,1.60196,0.000460097,0.000460097,0.000460097
49,4320.03,1.25454,0.71584,1.31704,0.75919,0.67078,0.70809,0.38892,1.51586,0.81742,1.59718,0.000455694,0.000455694,0.000455694
50,4388.08,1.24928,0.71338,1.30609,0.76982,0.66477,0.70958,0.3945,1.50584,0.82086,1.60101,0.000451292,0.000451292,0.000451292
51,4467.95,1.23823,0.70539,1.30213,0.78045,0.65261,0.70611,0.39151,1.51081,0.80927,1.60086,0.00044689,0.00044689,0.00044689
52,4571.1,1.22999,0.69246,1.29605,0.76219,0.6951,0.72835,0.40281,1.48436,0.80804,1.57858,0.000442488,0.000442488,0.000442488
53,4641.5,1.22865,0.70403,1.29862,0.80204,0.68013,0.72915,0.41059,1.47556,0.7913,1.57653,0.000438086,0.000438086,0.000438086
54,4711.13,1.21151,0.68187,1.2827,0.77851,0.6791,0.72398,0.4088,1.48142,0.78938,1.57507,0.000433683,0.000433683,0.000433683
55,4796,1.2121,0.68092,1.28403,0.76591,0.68203,0.72636,0.40203,1.49449,0.82203,1.58826,0.000429281,0.000429281,0.000429281
56,4870.96,1.2142,0.67938,1.27874,0.79874,0.6867,0.74158,0.4171,1.47637,0.78638,1.56393,0.000424879,0.000424879,0.000424879
57,4943.2,1.19644,0.67428,1.27713,0.82487,0.68082,0.73757,0.41833,1.47016,0.78539,1.57185,0.000420477,0.000420477,0.000420477
58,5010.02,1.19274,0.66691,1.26969,0.83556,0.67669,0.7434,0.42307,1.46594,0.77712,1.57463,0.000416075,0.000416075,0.000416075
59,5090.69,1.19697,0.66599,1.28003,0.79776,0.69205,0.73476,0.41758,1.47017,0.79195,1.58169,0.000411672,0.000411672,0.000411672
60,5160.38,1.17487,0.65734,1.26381,0.80657,0.70045,0.74588,0.42793,1.45335,0.77623,1.56657,0.00040727,0.00040727,0.00040727
61,5230.05,1.16092,0.64728,1.24698,0.81875,0.7034,0.74706,0.43019,1.44278,0.75589,1.56558,0.000402868,0.000402868,0.000402868
62,5297.98,1.16399,0.64269,1.2546,0.81108,0.6888,0.7304,0.42012,1.45334,0.77158,1.56174,0.000398466,0.000398466,0.000398466
63,5378.85,1.15947,0.6446,1.24286,0.82307,0.68939,0.74779,0.42786,1.44697,0.75681,1.56268,0.000394064,0.000394064,0.000394064
64,5456.75,1.14543,0.63136,1.24155,0.81033,0.70632,0.74709,0.43422,1.43662,0.74715,1.55561,0.000389661,0.000389661,0.000389661
65,5532.33,1.14369,0.62843,1.235,0.82023,0.70285,0.74896,0.43307,1.42801,0.75233,1.54438,0.000385259,0.000385259,0.000385259
66,5617.32,1.12925,0.62107,1.23097,0.85311,0.69171,0.75274,0.44549,1.40946,0.738,1.53409,0.000380857,0.000380857,0.000380857
67,5710.06,1.12521,0.62381,1.23193,0.82937,0.69468,0.74479,0.43784,1.41608,0.74496,1.53918,0.000376455,0.000376455,0.000376455
68,5797,1.12402,0.61506,1.22102,0.8353,0.69873,0.75095,0.43716,1.40799,0.75663,1.52992,0.000372053,0.000372053,0.000372053
69,5862.61,1.12768,0.61969,1.22399,0.83653,0.68946,0.73931,0.43232,1.42709,0.76177,1.54076,0.00036765,0.00036765,0.00036765
70,5939.69,1.10204,0.60634,1.21611,0.8584,0.68871,0.75572,0.44373,1.41516,0.74326,1.53552,0.000363248,0.000363248,0.000363248
71,6048.31,1.09906,0.60376,1.21256,0.84669,0.70865,0.76054,0.4541,1.39485,0.73603,1.51516,0.000358846,0.000358846,0.000358846
72,6126.6,1.10688,0.6033,1.20416,0.83058,0.71668,0.76517,0.45122,1.39668,0.71793,1.52062,0.000354444,0.000354444,0.000354444
73,6211.54,1.09746,0.59952,1.20829,0.81938,0.71806,0.76443,0.45532,1.40512,0.72479,1.54201,0.000350042,0.000350042,0.000350042
74,6288.28,1.09033,0.59474,1.20698,0.8605,0.6904,0.758,0.45044,1.3877,0.7285,1.51672,0.000345639,0.000345639,0.000345639
75,6365.2,1.08412,0.58815,1.20703,0.81383,0.7042,0.74935,0.4438,1.39088,0.72016,1.51586,0.000341237,0.000341237,0.000341237
76,6461.64,1.08155,0.59472,1.20355,0.85117,0.69593,0.7552,0.44904,1.38439,0.71604,1.52648,0.000336835,0.000336835,0.000336835
77,6540.76,1.06347,0.58198,1.18152,0.85024,0.71813,0.7641,0.4537,1.39043,0.7294,1.53178,0.000332433,0.000332433,0.000332433
78,6621.69,1.0651,0.57911,1.18867,0.82887,0.70946,0.7525,0.45299,1.38216,0.72112,1.52659,0.000328031,0.000328031,0.000328031
79,6699.83,1.07232,0.5757,1.18535,0.85987,0.71042,0.75896,0.45782,1.37543,0.71189,1.51653,0.000323628,0.000323628,0.000323628
80,6804.94,1.055,0.57167,1.18175,0.85253,0.69602,0.75546,0.45584,1.37494,0.71714,1.51833,0.000319226,0.000319226,0.000319226
81,6904.61,1.05344,0.57621,1.18017,0.85037,0.70437,0.76453,0.46767,1.36256,0.71453,1.51934,0.000314824,0.000314824,0.000314824
82,6970.08,1.0425,0.56613,1.18312,0.86311,0.7019,0.76835,0.46437,1.35914,0.70746,1.51554,0.000310422,0.000310422,0.000310422
83,7049.76,1.04132,0.56322,1.17123,0.87292,0.70148,0.76828,0.46798,1.35077,0.70302,1.51378,0.00030602,0.00030602,0.00030602
84,7148.88,1.02992,0.55497,1.17183,0.86127,0.71133,0.76503,0.47049,1.35305,0.70403,1.52398,0.000301617,0.000301617,0.000301617
85,7238.03,1.04059,0.56328,1.1734,0.87726,0.69799,0.76333,0.4593,1.35758,0.70193,1.5134,0.000297215,0.000297215,0.000297215
86,7311.71,1.012,0.54643,1.16204,0.84899,0.7178,0.76082,0.46524,1.34763,0.70114,1.50578,0.000292813,0.000292813,0.000292813
87,7387.7,1.02067,0.55608,1.15972,0.86628,0.71099,0.76832,0.47732,1.32676,0.69954,1.4856,0.000288411,0.000288411,0.000288411
88,7468.36,1.00644,0.5451,1.15449,0.87088,0.72057,0.773,0.47919,1.32293,0.70061,1.48509,0.000284009,0.000284009,0.000284009
89,7555.13,1.00783,0.53953,1.15207,0.86682,0.70903,0.7702,0.47843,1.32843,0.69249,1.49501,0.000279606,0.000279606,0.000279606
90,7653.85,1.00258,0.54183,1.14491,0.87945,0.71213,0.77869,0.47746,1.32088,0.69623,1.48508,0.000275204,0.000275204,0.000275204
91,7732.77,0.99229,0.53449,1.14208,0.87342,0.71072,0.77419,0.47963,1.32302,0.69128,1.49668,0.000270802,0.000270802,0.000270802
92,7807.81,0.99739,0.53525,1.14472,0.86985,0.71637,0.77707,0.48579,1.31688,0.69285,1.47704,0.0002664,0.0002664,0.0002664
93,7890.81,0.99557,0.53841,1.13753,0.87026,0.72047,0.77501,0.48272,1.30951,0.68573,1.47408,0.000261998,0.000261998,0.000261998
94,7962.34,0.98188,0.53167,1.14347,0.88877,0.70103,0.76586,0.47785,1.31253,0.68827,1.47847,0.000257595,0.000257595,0.000257595
95,8049.9,0.99178,0.53234,1.13877,0.88636,0.70561,0.77532,0.49116,1.29686,0.69504,1.47109,0.000253193,0.000253193,0.000253193
96,8136.94,0.97229,0.52895,1.12987,0.88054,0.7111,0.77779,0.49021,1.29603,0.68365,1.46643,0.000248791,0.000248791,0.000248791
